K,Triton,cuBLAS,cuTLASS
256.000000,3.338611,1.927263,2.165024
512.000000,3.871315,3.278902,3.601575
768.000000,5.641099,4.848612,5.770996
1024.000000,7.323180,5.660522,7.702413
1280.000000,9.190599,7.869489,10.674006
1536.000000,10.932017,9.004008,12.701430
1792.000000,12.665009,11.274987,14.337956
2048.000000,14.424932,12.054859,14.550033
2304.000000,16.681147,14.333936,18.125984
2560.000000,18.976664,18.748051,19.521065
2816.000000,21.314905,18.765232,22.517471
3072.000000,23.006760,21.951183,26.437632
3328.000000,25.786272,23.619345,27.544790
3584.000000,27.871679,25.394453,29.898848
3840.000000,30.200438,27.748489,33.301174
4096.000000,31.093260,28.518335,35.635151
4352.000000,33.280258,30.781067,44.063538
4608.000000,35.368431,31.993887,44.888817
4864.000000,37.321297,32.135082,42.370911
5120.000000,39.534126,31.416330,48.055904
5376.000000,41.299377,37.636993,46.647999
5632.000000,42.937168,39.720253,48.410625
5888.000000,45.402847,41.748642,50.008095
6144.000000,48.085327,42.043091,53.057858
6400.000000,49.671551,43.216606,59.580578
6656.000000,51.697281,46.983871,58.443810
6912.000000,55.781631,50.563358,59.517761
7168.000000,58.747105,49.181854,60.774399
7424.000000,62.179359,56.247295,63.742496
7680.000000,62.806591,50.666912,72.689568
7936.000000,68.319267,58.433441,68.347870
8192.000000,75.181442,53.402401,67.450623
